Название вакансии,Компания,Зарплата,Ссылка на вакансию
C# разработчик (WPF),Антереал,Опыт 3-6 лет,https://tomsk.hh.ru/vacancy/105285346?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Golang-разработчик в DevPlatform,Т-Банк. ИТ. Разработка,Опыт 3-6 лет,https://tomsk.hh.ru/vacancy/120504262?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий программист Группы программного обеспечения,Газпром межрегионгаз,"66 000 – 78 000 ₽ за месяц, до вычета налогов
Опыт 1-3 года",https://tomsk.hh.ru/vacancy/125271472?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист 1С,АО Научно-производственная фирма Микран,"70 000 – 85 000 ₽ за месяц, на руки
Опыт 3-6 лет",https://tomsk.hh.ru/vacancy/124897274?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend-разработчик (C++),ООО ЛЭМЗ-Т,Опыт 1-3 года,https://tomsk.hh.ru/vacancy/121919333?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Технолог - программист станков ЧПУ (г. Бердск),АО Бердский электромеханический завод,"от 100 000 ₽ за месяц, на руки
Опыт 1-3 года",https://tomsk.hh.ru/vacancy/120731646?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий инженер-программист,АО Научно-производственная фирма Микран,Опыт 3-6 лет,https://tomsk.hh.ru/vacancy/125306033?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист АСУ ТП,ООО Алкогольная Сибирская группа (АСГ),Опыт 1-3 года,https://tomsk.hh.ru/vacancy/125519652?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С: Документооборот КОРП,ООО АТОМ,"Опыт 3-6 лет
Подработка",https://tomsk.hh.ru/vacancy/125511211?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,ООО ТРАНСМАШ-ТОМСК,"до 125 000 ₽ за месяц, на руки
Опыт 1-3 года
Выплаты: два раза в месяц",https://tomsk.hh.ru/vacancy/124862620?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер в группу разработки СВЧ узлов и модулей,АО Научно-производственная фирма Микран,"60 000 – 70 000 ₽ за месяц, на руки
Без опыта",https://tomsk.hh.ru/vacancy/125744999?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Java-разработчик,OIS,Опыт 1-3 года,https://tomsk.hh.ru/vacancy/125744564?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер АСУ/программист ПЛК,ООО ТСИ.Д,"250 000 – 400 000 ₽ за вахту, на руки
Опыт 3-6 лет
Вахта
Выплаты: два раза в месяц",https://tomsk.hh.ru/vacancy/125344793?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
C++ Разработчик (Linux/Qt),ИП Корнилов Дмитрий Витальевич,"1 000 – 1 500 ₽ за час, на руки
Опыт 1-3 года
Можно удалённо
Выплаты: раз в месяц",https://tomsk.hh.ru/vacancy/125456161?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Kernel developer (Linux-like systems),UserGate,Опыт 3-6 лет,https://tomsk.hh.ru/vacancy/88448241?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Тестировщик,ООО Инфоматикс,"50 000 – 80 000 ₽ за месяц, на руки
Опыт 1-3 года
Выплаты: два раза в месяц",https://tomsk.hh.ru/vacancy/125735692?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Dart / Flutter разработчик (frontend),ООО Целевое управление,"1 000 – 1 500 ₽ за час, на руки
Опыт 1-3 года
Можно удалённо",https://tomsk.hh.ru/vacancy/125604984?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
